A.M.; n.午前; 上午
AID, n.艾滋病
correc, v.改正; 纠正
correctio, n.改正
correspon, vi.一致; 与……相当; 通信; 有书信往来
corrup, a.&v.贪污的; 腐败的; 使腐化; 堕落
cos, v.值; 花费
cos, a.暖和舒适的;亲密无间的
cottag, n.小屋;村舍;别墅
cotto, n.棉花
coug, n.&vi.咳嗽
couldmoda, v.可以…; 可以…; 行
coun, vt.数; 点数
counte, n.柜台; 结账处
countr, n.国家; 农村; 乡下
countrysid, n.乡下; 农村
coupl, n.夫妇; 一对
courag, n.勇气; 胆略
cours, n.过程; 经过; 课程
cour, n.法庭; 法院
courtyar, n.庭院; 院子
cousi, n.堂姐妹
cove, n.盖子; 罩
co, n.母牛; 奶牛
cowbo, n.牛仔;牧场骑士
cras, v.&n.碰撞; 撞击
crayo, n蜡笔; 蜡笔画
craz, a.疯狂的
crea, n.奶油; 乳脂
creat, vt.创造; 造成
creatur, n.生物; 动物
credi, n.信用; 信赖; 信誉
cre, n.全体船员
crim, n.罪; 犯罪
crimina, n.罪犯
criterio, n.标准; 准则; 原则
cro, n.庄稼; 收成
cros, a.脾气不好的; 易怒的
crossin, n.十字路口; 人行横道
crossroad, n.交叉路口
crow, n.人群
crowde, a.拥挤的
crue, a.残忍的; 残酷的; 无情的
cr, n.叫喊; 哭声
cub, n.立方体
cubi, a.立方体的; 立方形的
cuisin, n.饭菜; 佳肴
cultur, n.文化
cu, n.茶杯
cupboar, n.碗柜; 橱柜
cur, n.&vt.治疗; 医好
curiou, a.好奇的; 奇异的
currenc, n.货币; 现金
curriculu, n.全部课程
curtai, n.窗帘
cushio, n.垫子
custo, n.习惯; 习俗; 风俗习惯
custome, n.顾客; 主顾
custom, n.海关; 关税
cu, v.&n.切; 剪; 削; 割;伤口
cycl, vi.骑自行车
cyclis, n.骑自行车的人
da, n.爸爸; 爹爹
dail, a.每日的; 日常的
da, n.水坝; 堰堤
damag, n.&vt.毁坏; 损害
dam, a.&n.潮湿
danc, n.&vi.跳舞
dange, n.危险
dangerou, a.危险的
dar, v.&aux..(后接不带to的不定式; 主要用于疑问; 否定或条件句)敢; 敢于
dar, n.黑暗; 暗处; 日暮
darknes, n.黑暗; 阴暗
das, v.&n.快跑; 冲刺; 短跑
dat, n.资料; 数据
databas, n.资料库; 数据库
dat, n.日期; 约会
daughte, n.女儿
daw, n.黎明; 拂晓
da, n.日; 白天
dayligh, n.日光; 白昼; 黎明
dea, a.死的; 无生命的
deadlin, n.最后期限; 截止日期
dea, a.聋的
dea, n.量; 数额; 交易
dea, int.哎呀！唷！a.亲爱的; 贵的
deat, n.死
debat, n.&v.讨论; 辩论
deb, n.债务; 欠款
decad, n.十年期
decid, v.决定; 下决心
decisio, n.决定; 决心
declar, vt.声明; 断言
declin, v.减少;下降;衰退;谢绝
decorat, vt.装饰…; 修饰…
decoratio, n.装饰; 修饰
decreas, v.减少; 减小; 降低
dee, n.行为; 事迹
dee, a.深
deepl, ad.深深地
dee, n.鹿
defea, vt.击败; 战胜
defenc, n.&v.防御; 防务
defen, vt.防守; 保卫
degre, n.程度; 度数; 学位
dela, v.&n.拖延; 延误; 延迟; 延期; 耽搁
delet, v.删去
deliberatel, ad.故意;蓄意;存心
delicat, a.易损的; 易碎的
deliciou, a.美味的; 可口的
deligh, n.快乐; 乐事
delighte, a.高兴的; 快乐的
delive, vt.投递
deman, vt.要求
dentis, n.牙科医生 
departmen, n.部门; 司; 处; 系
department-stor, n.百货商场
departur, n.离开; 启程
depen, vi.依靠; 依赖; 指望; 取决于
deposi, v.&n.订金; 押金; 放下; 放置; 储存
dept, n.深; 深度
describ, vt.描写; 叙述
descriptio, n.描述; 描写
deser, n.沙漠
deserv, v.应得; 应受
desig, n.&vt.n.设计; 策划图案; 图样; 样式
desir, vt.&n.要求; 期望
des, n.书桌; 写字台
desperat, a.不惜冒险的; 不顾一切的; 拼命的
desser, n.甜点
destinatio, n.目的地; 终点
destro, vt.破坏; 毁坏
detectiv, n.侦探
determinatio, n.决心
determin, vt.决定; 决心
develo, v.发展; 发达; 发育; 开发
developmen, n.发展; 发达; 发育; 开发
devot, vt.把…奉献;把…专用
devotio, n.奉献; 奉献精神
diagra, n.图表; 图样
dia, vt.拨
dialogu, n.对话
diamon, n.钻石; 金刚石; 纸牌中的方块
diar, n.日记; 日记簿
dictatio, n.听写
dictionar, n.词典; 字典
di, v.&aux.做; 干
di, v.死
die, n.饮食
diffe, v.相异; 有区别
differenc, n.不同
differen, a.不同的; 有差异的
difficul, a.难; 艰难; 不易相处
difficult, n.困难; 费力
di, v.挖;掘
diges, v.消化;领会
digita, a..数字的; 数码的
dignit, n.庄重; 庄严; 尊严。尊贵; 高尚
dilemm, n.窘境; 困境
dimensio, n.量度; 尺寸; 面积; 程度; 范围
din, v.吃饭; 进餐
dining-roo, 食堂; 饭厅
dinne, n.正餐; 宴会
dinosau, n.恐龙
dioxid, n.二氧化物
di, vt.浸; 蘸; 把…放入又取出
diplom, n.毕业文凭; 学位证书
direc, a.&vt.直接的; 直达的; 直截了当的指挥; 指导; 监督; 管理; 指挥; 导演
directio, n.方向; 方位
directo, n.所长; 处长; 主任; 董事; 导演
director, n.姓名地址录
dir, n.污物; 脏物
dirt, a.脏的
disabilit, n..残疾; 无能
disable, a.残废的; 残疾的
disadvantag, n.不利条件; 弱点
disagre, vi.意见不一致; 持不同意见
disagreemen, n.意见不一致; 相违; 争论
disappea, vi.消失
disappoin, vt.使失望
disappointmen, n.失望; 沮丧
disaste, n.灾难; 祸患
discoun, n.折扣
discourag, vt.气馁; 打消
discove, vt.发现
discover, n.发现
discriminatio, n.歧视
discus, vt.讨论; 议论
discussio, n.讨论; 辩论
diseas, n.病; 疾病
disgustin, a.极糟的; 令人不快的; 令人厌恶的
dis, n.盘; 碟; 盘装菜; 盘形物
dis, n.磁盘
dislik, vt.不喜爱; 厌恶
dismis, vt.让……离开; 遣散; 解散; 解雇
disobe, vt.不服从
distanc, n.距离
distan, a.远的; 遥远的
distinctio, n.差别;区别;优秀;卓越
distinguis, v.区分; 辨别; 分清
distribut, v.分发; 分配
distric, n.区; 地区; 区域
distur, vt.扰乱; 打扰
disturbin, a.令人不安的; 引起恐慌的
div, vi.跳水
divers, v.不同的; 多种多样; 形形色色的
divid, vt.分; 划分
divisio, n.除
divorc, v.离婚
dizz, a.头眩目晕的
d, v.&aux.做; 干
docto, n.医生; 大夫; 博士
documen, n.文件; 文献
doe, do的第三人称单数现在式)
do, n.狗
dol, n.玩偶; 玩具娃娃
dolla, n.元
don', “＝”donot不做; 不干
don, v.&aux.做; 干
doo, n.门
dormitor, n.学生宿舍
do, n.点; 小点; 圆点
doubl, a.两倍
doub, n.&v.怀疑; 疑惑
dow, prep.沿着; 沿…而下
downloa, n.&v.下载
downstair, ad.在楼下; 到楼下
downtow, ad.往或在城市的商业区
downwar, ad.向下
doze, n.十二个; 几十; 许多
draf, n.&v.草稿; 草案; 起草; 草拟
dra, v.拖; 拽
dran, v.喝; 饮
dra, v.绘画; 绘制; 拉; 拖; 提取
drawbac, n.缺点; 不利条件
drawe, n.抽屉
drawin, n.图画; 素描;绘画
draw, v.绘画; 绘制; 拉; 拖; 提取
drea, n.&vt.梦; 梦想
dres, n.女服; 连衣裙; 服装; 童装
dre, v.绘画; 绘制; 拉; 拖; 提取
drie, n.烘干机; 吹风机
dril, n.钻头; 训练
drin, n.饮料; 喝酒 
driv, v.驾驶; 开; 驱赶
drive, v.驾驶; 开; 驱赶
drive, n.司机; 驾驶员
dro, n.滴
drov, v.驾驶; 开; 驱赶
drow, vi.溺死; 淹没
dru, n.药; 药物; 毒品
dru, n.鼓
drun, a.醉的
dr, v.使…干; 弄干; 擦干
duc, n.鸭子
du, a.预期的; 约定的
dul, a.阴暗的; 单调无味
dumplin, n.饺子
durin, prep.在…期间; 在…过程中
dus, n.黄昏
dus, n.灰尘; 尘土
dustbi, n.垃圾箱
dust, a.尘土般的; 尘土多的
dut, n.责任; 义务
e-mail[, ]-n.电子邮件
eac, a.&pron.每人
eage, a.渴望的; 热切的
eagl, n.鹰
ea, n.耳朵
earl, a.早的
ear, vt.挣得; 赚得
eart, n.地球; 土; 泥; 大地
earthquak, n.地震
eas, v.减轻; 缓解
easil, ad.容易地
eas, a.东方; 东部的; 朝东的; 从东方来
easter, a.东方的; 东部的
eastward, ad.向东
eas, a.容易的; 不费力的
easy--goin, a.随和的
ea, v.吃
eate, v.吃
ecolog, n.生态; 生态学
edg, n.边缘
editio, n.
edito, n.编辑
educat, vt.教育; 培养
educatio, n.教育; 培养
educato, n.教育家
effec, n.效果; 作用
effor, n.努力; 艰难的尝试
eg, n.蛋; 卵
eggplan, n.茄子
eigh, num.八
eightee, num.十八
eight, num.第八
eight, num.八十
eithe, a.两方任一方的; 二者之一
elde, n.长者; 前辈
elec, vt.选举
electri, a.电的
electrica, a.电的; 电器的
electricit, n.电; 电流
electroni, a.电子的
elegan, a.文雅的;漂亮的;精美的
elephan, n.象
eleve, num.十一
els, ad.别的; 其他的
embarras, v.使窘迫; 尴尬
embass, n.大使馆
emergenc, n.紧急情况或状态
empero, n.皇帝
empir, n.帝国
emplo, vt.雇佣
empt, a.空的
encourag, vt.鼓励
encouragemen, n.鼓励
en, n.末尾; 终点; 结束
endin, n.结局; 结尾; 最后
endles, a.无止境的; 没完的
enem, n.敌人; 敌军
ener, yn.精力; 能量
energeti, a.精力旺盛的
engin, n.发动机; 引擎
enginee, n.工程师; 技师
enjo, vt.欣赏; 享受乐趣; 喜欢
enjoyabl, a.愉快的; 有趣的
enlarg, vt.扩大
enoug, n.足够; 充足
enquir, n.询问
ente, vt.进入
enterpris, n.公司; 企; 事业单位
entertainmen, n.娱乐
enthusiasti, a.热情的; 热心的
entir, a.整个的; 全部的
entranc, n.入口; 入场; 进入的权利;入学许可
entr, n.进入
envelop, n.信封
environmen, n.环境
env, vt.&n.忌妒; 羡慕
equa, a.平等的
equalit, n.平等
equi, vt.提供设备; 装备; 配备
equipmen, n.装备; 设备
erase, n.橡皮擦; 黑板擦
erro, n.错误; 差错
erup, v.爆发; 喷发
escap, n.&vi.逃跑; 逃脱
especiall, ad.特别; 尤其
essa, n.散文; 文章; 随笔
evaluat, v.估值; 评价; 评估
eve, ad.甚至; 连; 更
evenin, n.傍晚; 晚上
even, n.事件; 大事
eventuall, ad.最终地
eve, ad.曾经; 无论何时
ever, a.每一; 每个的
everyda, a.每日的; 日常的
everyon, pron.每人; 人人
everythin, pron.每件事; 事事
everywher, ad.到处
evidenc, n.证据; 证明
eviden, a.清楚的; 显而易见的
evolutio, n.进化; 演变
exac, a.精确的; 确切的
exactl, ad.精确地; 确切地
exa, “＝”examinationn.考试; 测试; 检查; 审查
examin, vt.检查; 诊察
exampl, n.例子; 榜样
excellen, a.极好的; 优秀的
excep, prep.除……之外
exchang, n.交换; 掉换; 交流
excit, vt.使兴奋; 使激动
excus, n.借口
exercis, n.锻炼; 做操; 练习; 习题
exhibitio, n.展览; 展览会
exis, vi.存在
existenc, n.存在; 生存; 存在物
exi, n.出口; 太平门
expan, v.扩大; 增加; 扩展
expec, vt.预料; 盼望; 认为
expectatio, n.预料; 期望
expens, n.消费; 支出
expensiv, a.昂贵的
experienc, n.经验; 经历
experimen, n.实验
exper, n.专家; 能手
explai, vt.解释; 说明
explanatio, n.解释; 说明
explici, a.清楚明白;易于理解的
explod, v.爆炸
explor, v.探险
explore, n.探险者
expor, n.&v.出口; 输出
expos, vt.揭露
expres, vt.表达; 表示; 表情
expressio, n.表达; 词句; 表示; 说法; 表情
extensio, n.扩大; 延伸
extr, a.额外的; 外加的
extraordinar, a.离奇的; 使人惊奇的
extrem, a.极其的; 非常的
extremel, ad.极其; 非常
ey, n.眼睛
eyesigh, n.视力; 视觉
eyewitnes, n.目击证人
, n.女; 雌; 英尺
fac, n.脸
facia, a.面部用的
fac, n.事实; 现实
fad, vi.褪色; 消退
fai, v.失败; 不及格; 衰退
failur, n.失败
fai, a.公平的; 合理的
fairl, ad.公正地; 正当地; 相当地
fairnes, n.公平; 公正
fait, n.信仰; 信念
fal, vi.落; 降落; 倒
fals, a.不正确的; 假的
familia, a.熟悉的
famil, n.家庭; 家族; 子女
famou, a.著名的
fa, n.迷; 热心的爱好者
fanc, a.花式; 装饰的; 奇特的
fantas, n幻想; 梦想
fa, a.&ad.远的; 远地
far, n.
far, n.农场; 农庄
farme, n.农民
fas, a.快的; 迅速的; 紧密的
faste, vt.扎牢; 扣住
fa, n.脂肪
fathe, n.父亲
faul, n.缺点; 毛病
favou, n.恩惠; 好意; 帮助
favourit, a.喜爱的
fa, n.传真
fea, n.害怕; 恐惧; 担忧
feas, n.盛宴; 宴会; 节日
feathe, n.羽毛
feder, la.中央的联邦的
fe, n.费; 费用
fee, vt.喂; 饲
fee, v.&link感觉; 觉得; 摸; 触
feelin, n.感情; 感觉
fello, n.同伴; 伙伴
femal, a.女的; 女性的; 雌性的
fenc, n.栅栏; 围栏; 篱笆
ferr, n.渡船
festiva, a.节日的; 喜庆的
fetc, vt.来
feve, n.发烧; 发热
fe, pron.不多; 少数不多的; 少数的
fibr, n.纤维质
fictio, n.小说; 虚构的事
fiel, n.田地; 牧场; 场地
fierc, a.猛烈的
fiftee, num.十五
fift, num.第五
fift, num.五十
figh, n.打仗
fighte, v.战士; 斗士
figur, n.数字; 数目; 图; 图形; 身型; 人物; 人物像
fil, n.公文柜; 档案文档
fil, vt.填空; 装满
fil, n.电影; 影片; 胶卷
fina, a.最后的; 终极的
financ, n.资金; 财政; 财务
fin, vt.找到; 发现; 感到
fin, a.细的; 晴朗的; 美好的; 健康的
finge, n.手指
fingernai, n.指甲
finis, v.结束; 做完
fir, n.火; 火炉; 火灾
fireplac, n.壁炉
firewoo, n.木柴
firewor, n.焰火
fir, n.公司;企业
firml, ad.牢牢地
firs, num.第一
fis, n.鱼; 鱼肉
fisherma, n.渔民; 钓鱼健身者
fis, n.拳
fi, a.健康的;适合的
fittingroo, ]试衣间
fiv, num.五
fi, vt.修理; 安装; 确定; 决定
fla, n.旗; 标志; 旗舰
flam, n.火焰; 光辉
flamin, a.火红的; 火焰般的
flas, n.闪; 闪光; 转瞬间
flashligh, n.手电
fla, a.平的
fle, v.逃走; 逃跑
fles, n.肉
flexibl, a.灵活的; 可变动的
fligh, n.航班
floa, vi.漂浮; 浮动
floo, n.洪水
floo, n.地面; 地板
flou, n.面粉; 粉
flo, vi.流动
flowe, n.花
fl, n.流行性感冒
fluenc, n.流利; 流畅
fluen, a.流利的; 流畅
fl, vi.飞; 飞行; 飘动
focu, v.&n.集中于; 焦点; 中心点
fo, n.雾
fogg, a.多雾的
fol, vt.折叠; 合拢
fol, a.民间的
follo, vt.跟随; 仿效; 跟得上
followin, a.接着的; 以下的
fon, a.喜爱的; 爱好的
foo, n.食物; 食品
foo, n.傻子; 蠢人
foolis, a.愚蠢的; 傻的
foo, n.足; 脚; 英尺
footbal, n.足球; 橄榄球
fo, prep.为了…; 向…; 往…; 与…交换; 防备…; 适合…; 因为…; 在…期间; 对于…; 对…来说
forbi, vt.禁止; 不许
forc, vt.强迫; 迫使
forecas, n.&vt.预告
forehea, n.前额
foreig, a.外国的
foreigne, n.外国人
forese, vt.预见
fores, n.森林
foreve, ad.永远; 永恒的
forge, v.忘记; 忘掉
forgetfu, a.健忘的; 不留心的
forgiv, vt.原谅; 宽恕
for, n.叉; 餐叉
for, n.表格; 形式; 结构
forma, n.安排; 计划; 设计
forme, a.以前的; 从前的; 前者
fortnigh, n.十四日; 两星期
fortunat, a.幸运的; 侥幸的
fortun, n.财产; 运气
fort, num.四十
forwar, ad.将来
foun, vt.成立; 建立
foundin, n.成立; 建立
fountai, n.喷泉
fou, num.四
fourtee, num.十四
fourt, num.第四
fo, n.狐狸
fragil, a.易碎的; 易损的
fragran, a.香的; 芳香的
framewor, n.框架; 结构
fran, n.法郎
fre, a.自由; 空闲的; 免费的
freedo, n.自由
freewa, n.高速公路
freez, vi.结冰
freezin, a.冻结的; 极冷的
frequen, a.经常的; 频繁的
fres, a.新鲜的
frictio, n.摩擦
fridg, n.冰箱
frie, a.油煎的
frien, n.朋友
friendl, a.友好的
friendshi, n.友谊; 友情
frigh, n.惊恐; 恐吓
frighte, vt.使惊恐; 吓唬
fro, n.青蛙
fro, prep.从; 从…起
fron, a.前面的; 前部的
frontie, n.前沿; 边界; 前线
fros, n.霜
frui, n.水果; 果实
fruitjuic, n.果汁
fr, vt.用油煎; 用油炸
fue, n.燃料
ful, a.满的; 充满的; 完全的
fu, n.有趣的事; 娱乐; 玩笑
functio, n.&v.作用;功能;运转
fundamenta, a.十分重大的; 根本的
funera, n.葬礼
funn, a.有趣的; 滑稽可笑的
fu, n.毛皮; 皮子
furnishe, a.配备了家具的
furnitur, n.家具
futur, n.将来
gai, vt.赢得; 挣得
gal, n.强风
galler, n.画廊; 美术品陈列室
gallo, n.加仑
gam, n.游戏; 运动; 比赛
garag, n.汽车间
garbag, n.垃圾
garde, n.花园; 果园; 菜园
gardenin, n.园艺学
garli, n.大蒜
garmen, n.衣服
ga, n.煤气
gat, n.大门
gathe, v.聚集; 采集
ga, a.同性恋的; 快活的; 愉快的
genera, a.大体; 笼统的; 总的
generatio, n.代; 一代
generou, a.慷慨大方的
gentl, a.温柔的; 轻轻的
gentlema, n.绅士; 先生; 有身份、有教养的人
geograph, n.地理学
geometr, n.几何学
gestur, n.姿势; 手势
ge, vt.成为; 得到; 具有; 到达
get--togethe, n.聚会
gif, n.赠品; 礼物
gifte, a.有天赋的; 有才华的
giraff, n.长颈鹿
gir, n.女孩
giv, vt.给;递给;付出;给予
gla, a.高兴的; 乐意的
glanc, vi.匆匆一看; 一瞥
glar, v.瞪眼;怒目而视;闪耀
glas, n.玻璃杯;玻璃; 眼镜
glasshous, n.温室; 暖房
glob, n.地球仪;地球
glor, n.巨大的光荣;荣誉;赞美
glov, n.手套
glu, n.胶水
g, vi.去; 走; 驶; 通到; 到达
goa, n.球门; 目标
goa, n.山羊
go, n.神; 上帝
gol, n.黄金a金的; 黄金的
golde, a.金色的
goldfis, n.金鱼
goldmeda, 金牌
gol, n.高尔夫球
goo, a.好; 良好
good-by, int.再见; 再会
goodnes, n.善良; 美德
good, n.商品; 货物
goos, n.鹅
gover, v.统治; 管理
governmen, n.政府
gow, n.礼服; 长外衣; 睡衣
grad, n.等级; 学年; 成绩; 分数
graduall, ad.逐渐地
graduat, v.毕业
graduatio, n.毕业; 毕业典礼
grai, n.谷物; 谷类
gra, n.克
gramma, n.语法
gran, a.宏伟的
grandchil, n.孙或孙女
granddaughte, n.孙女
grandm, “＝”grandmother n.奶奶; 外婆
grandp, “＝”grandfather n.爷爷;外公
grandparent, n.祖父母
grandso, n.孙子
grann, n.老奶奶; 祖母; 外婆
grap, n.葡萄
grap, n.图表; 曲线图
gras, v.抓住; 紧握
gras, n.草; 草场; 牧草
gratefu, a.感激的; 感谢的
gravit, n.重力; 地球引力
grea, a.伟大的;重要的;好极了
greed, a.贪婪的
gree, a.绿色的; 青的
greengroce, n.蔬菜水果商
gree, vt.问候; 向……致敬
greetin, n.祝贺
grey[gra, a.灰色的; 灰白的
gril, n.烤架
groce, n.零售商人; 食品店
groun, n.地面
grou, n.组; 群
gro, v.生长; 发育; 种植; 变成
growt, n.生长; 增长
grue, n.粥
guarante, v.保证; 担保
guar, n.防护装置; 警戒
gues, vi.猜
gues, n.客人; 宾客
guidanc, n.引导; 指导
guid, n.向导; 导游者
guilt, a.有罪;犯法的;做错事的
guita, n.吉他; 六弦琴
gu, n.枪; 炮
gy, n.体操; 体育馆; 健身房
gymnastic, n.体操
h, int.哈
habi, n.习惯; 习性
hai, n.头发
haircu, n.理发
hal, a.&n.半; 一半; 半个
hal, n.大厅;会堂;礼堂;过道
ha, n.火腿
hamburge, n.汉堡包
hamme, n.锤子; 锣锤
han, n.手; 指针
handba, n.女用皮包; 手提包
handfu, n.把; 少数; 少量
handkerchie, n.手帕
handl, n.柄; 把柄
handsom, a.英俊的
handtruc, n.手推运货车
handwritin, n.书法
hand, a.便利的; 顺手的hangv.处绞刑; 上吊
han, v.悬挂; 吊着; 把……吊起
happe, vi.发生
happil, ad.幸福地; 快乐地
happines, n.幸福; 愉快
happ, a.幸福; 快乐的; 高兴的
harbou, n.港口
har, ad.努力地; 使劲; 猛烈地
hardl, ad.几乎不
hardshi, n.困难
hardworkin, a.努力工作的
har, n.&v.伤害; 损伤
harmfu, a.有害的; 致伤的
harmles, a.无害的;不致伤的
harmon, n.融洽; 和睦
harves, n.&vt.收割; 收获
ha, n.帽子; 礼帽
hatc, v.孵蛋
hat, vt.&n.恨; 讨厌
hav, vt.有; 吃; 喝; 进行; 经受
haw, n.鹰
ha, n.作饲料用的干草
h, pron.他
hea, n.头; 头脑; 才智; 首脑; 源头; 标题
headach, n.头疼
headlin, n.大字标题
headmaste, n.中小学校长
headmistres, n.女校长
healt, n.健康; 卫生
health, a.健康的; 健壮的
hea, n.堆
hea, v.听见; 听说;得知
hearin, n.听力
hear, n.心
hea, n.热
heave, n.天; 天空
heavil, ad.重地; 大量地
heav, a.重的
hee, n.脚后跟
heigh, n.高; 高度
helicopte, n.直升飞机
hell, int.喂; 你好
helme, n.头盔
hel, n.&vt.帮助; 帮忙
helpfu, a.有帮助的; 有益的
he, n.母鸡
he, pron.她;她的
her, n.草药
her, ad.这里; 在这里; 向这里
her, n.英雄; 勇士; 男主角
heroin, n.女英雄; 女主角
her, pron.她的
hersel, pron.她自己
he, int.嘿！
h, int.你好
hibernat, vi.冬眠
hibernatio, n.冬眠
hid, v.把…藏起来; 隐藏
hideandsee, 捉迷藏
hig, a.高的;高度的
highwa, n.公路;主要交通道路
hil, n.小山;丘陵;土堆;斜坡
hillsid, n.山腰; 山坡
hill, a.丘陵的; 多小山的
hi, pron.他
himsel, pron.他自己
hir, vt.租用
hi, pron.他的
histor, n.历史; 历史学
hi, n.&vt.打;撞;击中
hiv, n.蜂房; 蜂箱
hobb, n.业余爱好; 嗜好
hol, vt.拿; 抱; 握住; 举行; 进行
hol, n.洞; 坑
holida, n.假日; 假期
hol, a.神圣的
hom, n.家
homelan, n.祖国
hometow, n.故乡
homewor, n.家庭作业
hones, a.诚实的; 正直的
hone, n.蜂蜜
honou, n.荣誉; 光荣
hoo, n.&v.钩子; 衔接; 连接
hoora, int.好哇！
hop, n.&v.希望
hopefu, a.有希望的; 有前途的
hopeles, a.没有希望;不可救药的
horribl, a.令人恐惧; 恐怖的
hors, n.马
hospita, n.医院
hos, n.主人; 节目主持人
hostes, n.女主人
ho, a.热的
hotdo, n.热狗
hote, n.旅馆; 饭店; 宾馆
hou, n.小时
hous, n.房子; 住宅
housewif, n.家庭主妇
housewor, n.家务劳动
ho, ad.怎样;如何; 多少; 多么
howeve, ad.可是
how, vi.嚎叫; 嚎哭
hu, v.拥抱
hug, a.巨大的; 庞大的
huma, a.人的; 人类的
humanbein, 人
humorou, a.富于幽默的
humou, n.幽默;幽默感
hundre, num.百
hunge, n.饥饿
hungr, a.饿的
hun, vt.寻找; 狩猎; 猎取
hunte, n.猎人
hurrican, n.飓风; 十二级风
hurr, vi.赶快; 急忙
hur, vt.伤害; 受伤; 伤人感情
husban, n.丈夫
hydroge, n.氢
ic, n.冰
ice--crea, n.冰淇淋
ide, n.主意;意见;打算;想法
identificatio, n.鉴定; 辨别
identit, n.身份; 特征
idio, n.习语; 成语
i, conj.如果;假使;是否;是不是
ignor, v.忽视; 对…不理会
il, a.有病的; 不健康的
illega, a.非法的
illnes, n.疾病
imagin, vt.想像; 设想
immediat, a.立即的; 马上
immediatel, ad.立即
immigratio, n.移民
impor, v.&n.进口; 输入
importanc, n.重要性
importan, a.重要的
impossibl, a.不可能的
impres, vt.留下极深的印象
impressio, n.印象; 感觉
improv, vt.改进; 更新
i, prep.在…里; 在…; 以…
inc, n.英寸
inciden, n.事件
includ, vt.包含; 包括
incom, n.收入; 所得
incorrec, a.不正确的; 错误的
increas, v.&n.增加; 繁殖
indee, a.确实; 实在
independenc, n.独立
independen, a.独立的;有主见的
industr, n.工业; 产业
influenc, n.&v.影响
infor, vt.告诉; 通知
informatio, n.信息
informationdes, 问讯处
initia, a.开始的; 最初的
injur, vt.损害; 伤害
injur, n.受伤处
in, n.墨水; 油墨
inlan, a.内陆的; 内地的
in, n.小旅店; 小饭店
innocen, a.无辜的; 清白的
insec, n.昆虫
inser, vt.插入
insid, prep.在…里面
insis, vi.坚持; 坚决认为
inspec, vt.检查; 检验; 审视
inspir, vt.鼓舞; 激励
instan, a.瞬间; 刹那
instea, ad.代替; 顶替
institut, n.所;院; 学院
institutio, n.公共机构; 学校
instruc, vt.通知; 指示; 教
instructio, n.说明;须知;教导
instrumen, n.乐器;工具;器械
insuranc, n.保险
insur, vt.给……保险
intelligenc, n.智力;才智;智慧
inten, vt.想要; 打算
intentio, n.打算;计划;意图
interes, n.兴趣; 趣味;利息
interestin, a.有趣的
internationa, a.国际的
interne, n.互联网; 英特网
interprete, n.翻译
interrup, v.打扰; 打断
interva, n.间歇; 间隔
intervie, n.&vt.采访;会见;面试
int, prep.到…里;向内; 变成
introduc, vt.介绍
introductio, n.引进; 介绍
inven, vt.发明; 创造
inventio, n.发明; 创造
invento, n.发明者; 创造者
invitatio, n.邀请; 请帖
invit, vt.邀请; 招待
iro, n.铁; 熨斗
irrigat, vt.灌溉
irrigatio, n.灌溉
islan, n.岛
i, pron.它
it, pron.它的
itsel, pron.它自己
jacke, n.短上衣; 夹克衫
ja, n.果酱; 阻塞
ja, n.罐子; 坛子
ja, n.下巴
jaz, n.爵士音乐; 爵士舞曲
jean, n.牛仔裤
jee, n.吉普车
je, n.喷气式飞机; 喷射
jewe, n.宝石
jewelr, n.珠宝
jo, n.工作
jo, v.慢跑
joi, v.参加;加入;连接;会合
jok, n.笑话
journalis, n.记者; 新闻工作者
journe, n.旅行; 路程
jo, n.欢乐; 高兴; 乐趣
judg, n.裁判; 审判员; 法官
judgemen, n.裁判
juic, n.汁、液
juic, a.多汁的; 水分多的
jum, n.跳跃; 跳变
jungl, n.丛林; 密林
junio, a.初级的; 年少的
jun, n.废品; 破烂货
junkfoo, 没有营养的垃圾食品
junkmai, 塞到邮箱的广告宣传品
jus, ad.刚才; 恰好; 不过; 仅
justic, n.正义; 公正; 司法
kangaro, n.大袋鼠
kee, v.保持; 保存; 继续不断
keepe, n.饲养员; 看守人
kettl, n.水壶
ke, n.钥匙;答案;键;关键
keyboar, n.键盘
kic, v.&n.踢
ki, n.小孩
kil, v.杀死; 弄死
kil, n.千克; 千米
kilogra, n.千克
kilomet, en.千米
kin, n.种;类
kind-hearte, a.好心的
kindergarte, n.幼儿园
kindnes, n.仁慈; 善良
kin, n.国王
kingdo, n.王国
kis, n.&vt.吻; 亲吻
kitche, n.厨房
kit, n.风筝
kne, n.膝盖
knif, n.小刀;匕首;刀片
knoc, n.&v.敲; 打; 击 
kno, v.知道; 了解; 认识; 懂得
knowledg, n.知识; 学问
la, “＝”laboratoryn.实验室
labou, n.劳动
laboure, n.体力劳动者
lac, n.&vt.缺乏; 缺少
ladde, rn.梯子
lad, n.女士; 夫人
lak, n.湖
lam, n.羔羊
lam, a.跛的; 瘸的; 残废的
lam, n.灯; 油灯; 光源
lan, n.陆地;土地
languag, n.语言
lanter, n.灯笼; 提灯
la, n.一圈
larg, a.大的; 巨大的
lase, n.激光
las, a.最近刚过去;最后的
lat, a.晚的;迟的
latel, ad.最近; 不久前
late, a.晚些的; 迟些的
lates, a.最近; 最新的; 最晚的
latte, n.后者
laug, n.&v.笑; 大笑; 嘲笑
laughte, n.笑; 笑声
laundr, n.洗衣店;要洗的衣服
lavator, n.便所; 厕所
la, n.法律; 法令; 定律
