Afric, n.非洲
mu, n. (口语)妈妈
mumm, n.(口语)妈妈
museu, n.博物馆
musi, n.音乐;乐曲
mus, v.aux. 必须;应当
m, pron. 我的
mysel, pron.我自己
nam, n. 名字
natura, adj.自然界的，天然的
nea, prep. 在...附近
nearb, adv.附近
nearl, adv.将近;几乎
neatl, adv.整洁地
necessar, adj.必需的;必要的
nec, n. 颈;脖子
necklac, n.项链
nee, v.需要;必需
neighbou, n. 邻居
neighbourhoo, n.四邻；街坊；邻近
neithe, adj. & pron.(两者)都不
neither...nor..; conj.既不...也不...
nervou, adj.紧张不安的
neve, adv.从来;决不
never min, phr.没关系
ne, adj. 新的
new, n.新闻;消息
nex, adj. 下一个
next t, phr.相邻;靠近
nic, adj. 好的;漂亮的
nin, num. 九
nint, num&adj.第九(的)
n, adv. & adj. 不;不是
no longe, phr.不再
no matte, phr.不论
nobod, pron.没有人
nois, n.嘈杂声;响声
nois, adj.喧闹的;嘈杂的
non, pron.一个人也没有；没有任何东西
noodl, n.面条
noo, n. 中午;正午
no, conj.也不
nort, n.&v.北方(的);北部(的)
northeas, n.东北;东北部
norther, adj.北部的，北方的
northwes, n.西北;西北部
nos, n. 鼻子
no, adv. 不
not only…but als, phr.不但……而且
nothin, pron.没有什么;没有东西
notic, v.注意，通知
nove, n. (长篇)小说
no, adv. 现在
numbe, n. 数字;号码
nurs, n.护士
nu, n.坚果;坚果核
o'cloc, n. …点钟
objec, n.物体
ocea, n.海洋，大洋
o, prep. ...的
offe, v & n 拿出；提供
offic, n.办公室
ofte, adv.常常
oi, n.油
ol, adj. ...岁的;老的
o, prep.关于
on displa, phr.陈列，展览
on dut, phr. 值日
on eart, phr.在地球上
on one's way t, phr.在..的途中
on sho, phr.展出
on watc, phr.值班;守望
onc, adv.一次
once upon a tim, phr.从前，很早以前
on, pron. 用来代替单数的人或物
one-wa, adj.单程的，单行的
onio, n.洋葱
onlin, adj.&adv.在线，上网
onl, adv. 仅仅;只
ont, prep.在…上面；到…上面
ope, adj.开着的
open u, phr.开设，开业，开放
oper, n.歌剧
opposit, adj.对面的;相反的
o, conj. 或者;还是
orang, adj & n. 橙色(的)
orde, n. & v.订购;点菜;订购单;定购;一份菜
ordinar, adj.普通的，通常的
othe, adj.别的;其他的
ouc, int.啊呀
ou, pron. 我们的
our, pron. 我们的
ourselve, pron.我们自己
ou, adv.在外
out o, prep.从..向外;从..往外
outdoo, adj.户外的，野外的
outsid, prep&adv.在...外
ove, adv.结束;完了
over ther, phr. 在那边
ow, v.拥有，所有
owne, n.拥有者，所有者
p.m.; n. 下午;午后
pag, n.(书的)页
pai, n.疼痛;疼
painfu, adj.疼痛的，痛苦的
painte, n. 画家
pai, n. 一对;一双
palac, n.宫;宫殿
pa, n.平底锅
pand, n.熊猫
pardo, v. 原谅(某人);宽恕
paren, n. 父(母)亲
parent, n. 父母亲;双亲
par, v.（将车）停放
parkin, n.停车（处）
parro, n. 鹦鹉
par, n.部分
part-tim, adj.&n.非全日工作的；业余时间
part, n.聚会
pas, v.传递
passenge, n.乘客;旅客
pas, n.&adj.过去(的)
pat, n.路线，去路
patien, n.病人
paus, v.中止&n.暂停
pa, v.付钱；支付
pay fo, phr.付钱；支付
pe, n.豌豆
pea, n. 梨
pe, n. 钢笔
penci, n. 铅笔
pencil-bo, n. 铅笔盒
pengui, n.企鹅
peopl, n. 人;人们
peppe, n.胡椒
performanc, n.演出，成果，成绩
perhap, adv.也许;可能
perso, n. 人
persona, adj. 私人的;个人的
pe, n.宠爱的动物
phon, n. 电话;电话机
phot, n. 照片
physic, n.物理(学)
pian, n.钢琴
pic, v.采摘(花;果实)
pick…u, phr.拾起；捡起
picni, n.野餐
pictur, n. 图画;照片
pi, n.(用肉或水果做成的)馅饼
piec, n.一张(片;张)
pi, n.猪
pil, n.药丸;药片
ping-pon, n. 乒乓球
pin, adj.粉红色的;桃红色的
pionee, n. 先锋
pit, n.遗憾的事，可惜的事
pizz, n.(意大利)烤馅饼
plac, n.地点;地方
plan, n.飞机
plan, n.&v.植物; 种植
plasti, n.&adj.塑料(的)
plat, n.盘子;碟子
pla, n.剧;戏剧
playe, n.比赛者;选手
playgroun, n.(学校的)操场
playhous, n. 儿童游戏房
pleasan, adj.愉快的;快乐的
pleas, int. 请
please, adj. 高兴的;愉快的
pleasur, n.愉快;高兴
plu, prep. 加;加上
pocke, n.衣袋
poin, v.指，指向…
point a, phr.指示，指向
point t, phr.指向…
polic, n.警察(局)
policema, n. 警察
politel, adv. 有礼貌地
pollut, v.污染，弄脏
poo, n.水池，水坑
poo, adj. 贫穷的;可怜的
popula, adj.大众的;流行的
populatio, n.人口，人数
por, n.猪肉
porridg, n.粥;稀饭
possibl, adj.可能的
pos, n.邮政;邮寄;邮件
posta, adj.邮政的
postcar, n.明信片
postma, n.邮递员
potat, n.马铃薯;土豆
poun, n.镑(重量单位)
pou, v.倒；灌；倾泻
practic, n.&v.练习，实践
practis, v.实践；练习
prefe, v.宁愿（选择），更喜欢
prefer t, phr.宁愿（选择），更喜欢
presen, n.礼物
pres, v.按，压
prett, adj.漂亮的;美丽的
preven, v.防止，阻止
pric, n.价格;价钱
prid, n.自豪；骄傲
prin, v.打印
printe, n.打印机
priz, n.奖品；奖赏
probabl, adv.很可能；大概
proble, n.问题;难题
produc, v.产生；生产；制造
progra, n. 程序;项目;节目
progres, v.进步，提高，前进
protec, v.保护
prou, adj.自豪的；骄傲的
provid, v.提供
provinc, n.省
publi, adj.公共的；公众的
pul, v.拉;拖;拔
pumpki, n.南瓜
pupi, n.小学生，学生
purpl, adj & n. 紫色(的)
purs, n. 钱包
pus, v.推;挤
pu, v. 放
put (sth) dow, phr.把某物放下来
put of, phr.推迟，拖延
put o, phr. (戏剧等)上演;放(唱片等)
put u, phr.挂起，举起
quarre, v.争吵
quarrel wit, phr.(和某人)吵架
quarte, n. 一刻钟;四分之一
questio, n.问题
queu, n.(按次序等待的人;车等的)队;行列
queue jumpe, n.不按次序排队的人
quic, adj.快的;迅速的
quickl, adv.快地;迅速地
quie, adj.安静的;平静的
quietl, adv.安静地;平静地
quit, adv.很;十分
rabbi, n.兔子
rac, n. 赛跑
racke, n. (网球;羽毛球等的)球拍
radi, n.收音机
rai, n.轨道；铁路
railwa, n.（英）铁路
raincoa, n. 雨衣
rain, adj.多雨的;下雨的
rathe, adv. 相当
rather tha, phr.宁可，是…而不是
reac, v.到达;抵达;达到
rea, n.读;阅读
reading roo, n.阅览室
read, adj.准备好的;乐意的
rea, adj.真正的，真实的
realiz, v.察觉，领悟，了解
reall, adv.确实;真正地
receiv, v.接受，收到，得到
recycl, v.再循环；回收再用
re, adj & n. 红色(的)
ree, n.岩礁
refus, v. 拒绝
regar, v.看待，当作
regard… a, phr.把…当作，当作
relativ, n.亲属，亲人
rela, v.放松;轻松
rela, n. 接力;赛跑
remembe, v.记起;想起
repai, v.修理;修补
repor, n.&v.报导;报告
res, n.休息
restauran, n.饭馆
resul, n. 结果
retur, v. 回来;归还
revie, v. 复习(功课等)
rewardin, adj.值得作的
ric, n.米饭;大米
ric, adj.有钱的;富裕的;丰富的
riddl, n.谜语
rid, v.骑(自行车;马等)
ridg, n.山脉
righ, n&adj.右(的);右边(的)
ri, n.边，缘
rin, v.(钟;铃等)响;摇铃
ring u, phr.打电话
rive, n. 江;河
roa, n.道路;公路
ro, v.抢劫
robbe, n.强盗，盗贼
robber, n.抢劫案，抢劫
robo, n.机器人
roc, v.震动，摇动
rocke, n.火箭
roller-skatin, n.滑旱冰
roo, n. 房间
roug, adj.粗鲁的，激烈的
roun, adj.球形的;圆的
round-tri, adj.(车票等)来回的;往返的
ro, n. (一)排;(一)行
ru, v.磨;擦
rubbis, n.垃圾；废物
rul, n.规则，规定
rule, n. 尺子
ru, v.跑
run awa, phr.流失;逃跑，逃走
runne, n. 赛跑的人
rus, v.冲；奔跑
rush ou, phr.冲出去
sa, adj.难过的;悲哀的
sadl, adv.难过地；悲哀地
saf, adj.安全的;平安的
safet, n.安全
salesgir, n.女售货员
sal, n.盐
sam, adj. 同样的;同一的
san, n.沙，沙子
sandwic, n.三明治;夹心面包片
satellit, n.卫星
sav, v.救;挽救;节省
sa, v. 说;讲
scener, n.风景；景色
schoo, n. 学校
schoolba, n. 书包
schoolbo, n.(中小学的)男学生
schoolyar, n.校园
scienc, n.(自然)科学
scissor, n. (复数)剪刀
scor, n & v （比赛）得分
scree, n.屏幕
scub, n.水肺（潜水者用的水下呼吸器）
se, n.海;海洋
seafoo, n.海鲜;海产食品
searc, v.搜查，搜索
seaso, n.季节
sea, n. 座位
secon, num&adj.第二(的)
secondhan, adj.二手的，用过的
secre, n. 秘密
se, v. 看见;看到
see, v.好像;似乎
self-respec, n.自尊，自重
sel, v.卖;售
selle, n. 卖者;售货员
sen, v.送，寄，派（遣）
send u, phr.发射，把…往上送
seriou, adj.严重的;严肃
serv, v.上（酒、菜等），开（饭）；服务
se, n.装置，设备
set of, phr.出发;动身;起初
set one's mind to d, phr.一心想做…
seve, num. 七
severa, adj. & pron.几个；若干
shal, v.(我;我们)将;会
shap, n.形状，外形
shar, n.鲨鱼
sharpene, n. 卷笔刀
sh, pron. 她
shee, n. 绵羊
shel, n.架子；搁板
shellfis, n.贝类;甲壳虫
shepher, n.牧羊人
shin, v. 照亮;发亮
shi, n.船;轮船
shir, n. (男式)衬衫
sho, n. 鞋
shoo, v.射击，射死
sho, n.商店
shoppin, n.买东西
shor, adj. 短的;矮的
sho, n.（球赛中）击，射门，投篮，发射
shoul, v.aux.(shall的过去式)将;会;应该
shou, v.呼喊;喊叫
sho, n&v.演出;展览 给...看;出示
showe, n.降雨;骤雨
shower, adj.降雨的;多阵雨的
shu, v.关（门等）
shut dow, phr.把…关上
sh, adj.害羞的，腼腆的
sic, adj.患病的
sid, n.边;面
sig, n.标记;符号;痕迹
silentl, adv. 寂静地;沉默地
sil, n.（蚕）丝
sinc, conj.由于，既然
sin, v.唱;唱歌
singl, adj.单个的，只有一个的
sin, v.下沉;沉没
si, n. (用于尊称)先生;阁下
siste, n. 姐;妹
si, v. 坐
sit dow, phr. 坐下
si, num. 六
siz, n. 尺寸;大小
skat, v.滑冰;溜冰
sk, v.滑雪
skir, n. 女裙
sk, n. 天空
slee, v.睡;睡觉
slippe, n.拖鞋，便鞋
slo, v.放慢；减速
slow dow, phr.减缓；减速
slowl, adv.缓慢地
smal, adj. 小的
smel, v.闻;嗅;散发(气味)
smil, n. & v.微笑
smo, n.烟雾
smok, v&n.吸烟;烟
snak, n.蛇
sno, n.&v.雪;下雪
snowma, n.雪人
snow, adj.多雪的;降雪的
s, pron.这样;如此
so fa, phr.到目前为止
so tha, conj.以便，以致
so-calle, adj.所谓的
socce, n.英式足球
societ, n.社会
soc, n.短袜
softwar, n. (电脑)软件
soi, n.土壤，土地
soldie, n.士兵;战士
solv, v.解决;解答
som, pron. 一些;若干
somebod, pron.某人;有人
someda, adv.（今后）有一天
someon, pron.某人;有人
somethin, pro.某事(物)某东西
sometim, adv.（未来的）某时
sometime, adv.有时
somewher, adv.某处;在某处
so, n. 儿子
soo, adv.不久;一会儿
sooner or late, phr.迟早
sorr, adj. 对不起;抱歉的
soun, v.听起来
sou, n.汤
sout, n.&v.南方(的);南部(的)
spac, n.空间，太空
spaceshi, n.宇宙飞船
spea, v. 讲;说
speak highly o, phr.称赞
speake, n. 演讲者;说话者
specia, adj.特别的，特殊的
spee, n. 迅速;速度
spel, v. 拼写
spen, v. 花(时间;钱);度过
spil, v.溢出，溅出，洒出
spiri, n.精神
spi, v.吐痰；吐唾沫
spoi, v.糟蹋
spoo, n.匙;调羹
spor, n.运动
sprin, n.春天
squar, n.平方，（方形的）广场
stam, n.邮票
stan, v.站;立
stand in lin, phr.站(在)队(里)
sta, n.星星;恒星
star, v.开始;着手
statio, n.车站;所;站
sta, v.停留(在某处)
stea, v.偷，窃取
stee, adj.陡峭的，险峻的
stee, n. & v.驾驶;掌舵
steering whee, n.驾驶盘
ste, n. & v.脚步；走；踏入；踩
stic, n. 棒;棍
stil, adv.仍旧;更
stockin, n.长统袜
sto, v.停止;中止
stop...fro, phr.阻止...做
stor, v.储藏，存储
stor, n.暴风雨
stor, n.（房屋的）层
straigh, adv.一直地
strang, adj.奇怪的;陌生的
stree, n.街道
strike, n.（足球）前锋
stron, adj.强壮的;坚强的
studen, n. 学生
stud, n.书房
subjec, n.题目;题材
succes, n.成就，成功
successfull, adv.圆满地，顺利地，成功地
suc, adj.这样的
suddenl, adv. 突然地
suga, n.糖
sui, n.一套衣服
summe, n.夏天;夏季
su, n.太阳
sunglasse, n.太阳镜
sunn, adj.晴朗的;阳光充足的
sunshin, n.日光;阳光
supermarke, n.超级市场
suppe, n. 晚餐
suppos, v.猜想
sur, adv & adj. 的确;一定; 确信的;肯定的
sur, v.冲浪
surfe, n.冲浪者
surfin, n.冲浪运动
surpris, n.惊奇;惊讶
sweate, n. 毛衣;厚运动衫
swee, v. 扫;扫地
swee, adj.甜的;可爱的
swi, v.游泳
tabl, n. 桌子
tai, n.尾巴，尾部
tak, v.花费(时间);消耗
take a sea, phr.坐下;就坐
take care o, phr.照顾;照料;注意
take exercis, phr.做运动
take one's plac, phr.坐某人的座位;代替某人的职位
take ou, phr.取出
take-awa, adj. & n.可拿走的(熟食)
take/leave a messag, phr.捎/留口信
tal, v.说话;谈话
tal, adj. 高的
tap, n. 磁带
tast, v.品尝;有...味道
tax, n.出租汽车
te, n.茶
teac, v.教;教书
teach onesel, phr.自学
teache, n. 教师
tea, n.队;组
teamwor, n.合作，协同工作
teapo, n.茶壶
tea, n.(常用复数)眼泪;泪珠
technolog, n. 技术;工艺学
telegrap, n.电报
telephon, v.打电话给(某人)
tel, v.说;告述;吩咐
temperatur, n.温度
te, num. 十
tenni, n.网球(运动)
ten, n.帐篷
ter, n. 学期
terribl, adj.可怕的;感到极不舒服的
terrifi, adj.（口语）很棒的，极好的
textboo, n.课本
tha, conj.比....;比较....
than, v. 谢谢
thankfu, adj.感激的;感谢的
thank, n. 谢谢(只用复数)
thanks t, phr.由于，幸亏
thanksgivin, n.感谢;感恩
tha, pron. 那;那个
th, art. 这(那)个;这(那)些
the Great Hall of the Peopl, n.人民大会堂
the Olympic Game, phr.奥林匹克运动会
the Palace Museu, n.故宫博物院
the Summer Palac, n.颐和园
the more the bette, phr.越多越好
the same a, phr.和...相同
thei, pron. 他们(她们;它们)的
their, pron.他们(她们;它们)的
the, pron. 他(她;它)们
themselve, pron.他们自己
the, adv.那么;然后
ther, int. 好啦(表示安慰)
there', there is 的缩写形式
thes, pron. 这些
the, pron. 他(她;它)们
thie, n.贼
thi, adj.瘦的;薄的
thin, n. 东西;事情
thin, v. 想;认为
think o, phr.想起
thir, num&adj.第三的
thirst, adj.口渴的
thirtee, num. 十三
thirt, num. 三十
thi, pron. 这;这个
thos, pron. 那些
thoug, conj.虽然…，尽管…
though, n. 思考;思想;想法
thousan, num.千
thre, num. 三
throug, prep. 通过;穿过;经过
thro, v.投;掷
throw abou, phr.乱丢;抛散
tic, n. (钟表等滴嗒的)声音
ticke, n.票;券
tid, adj.整洁的；整齐的
ti, v.捆;(系;栓)紧
tige, n.老虎
til, prep&pron.(直)到...为止
tim, n.次数
tire, adj.累;疲乏
t, prep. (表示方向)到;向 动词不定式符号
toda, adv & n. 今天
to, n.脚趾
tof, n.豆腐
togethe, adv.一起
toile, n.厕所
tomat, n.(pl.tomatoes)西红柿;蕃茄
tom, n.坟墓
tomorro, n&adv.明天;在明天
to, adv. 太
too...t, phr.太...而不能
too, n. 工具
toot, n.牙齿
to, n.顶部
touris, n.旅游者;观光者
toward, prep.向，朝
tow, n.城镇
to, n.玩具;玩物
trac, n.(火车等的)轨道，跑道
tracto, n.拖拉机
traditiona, adj.传统的，惯例的
traffi, n.交通
trai, v.训练，培养
trainin, n.训练，培养
tra, v.使…陷入困境，设陷阱捕捉
trave, v&n.旅行
travelle, n.旅行者
trea, v.治疗，对待
tre, n. 树
tri, n&v.旅游;旅行
troubl, n.麻烦;烦恼
trouser, n. 裤子
truc, n. 卡车
tru, adj.真的;真实的
trut, n.真理，真相，事实
tr, v.试(做);设法;努力
try o, phr.试穿（衣服;鞋），试戴（帽子）
try ou, phr.实验，尝试
turke, n.火鸡
tur, n.(依次轮流的)顺序
turn dow, phr.关小，调低
turn of, phr.关(电灯;收音机;煤气;自来水等)
turn o, phr.打开(电灯;收音机;煤气;自来水)
turn ove, phr.把...翻过来
turnin, n.拐弯处
twelft, num&adj.第十二(的)
twelv, num. 十二
twentiet, num.第十二
twenty-firs, num.第二十一
twic, adv.两次；两倍
twi, n. 双胞胎之一
tw, num. 二
two-stor, n.两层
typ, v.(用打字机或电脑)打字
uncl, n. 叔;伯;舅;姨父;姑父
unde, prep. 在...下面
undergroun, adj.地下的
underse, adj.海底的
univers, n.宇宙
universit, n. 综合性大学
unles, conj.除非；如果不
unlik, prep.不像;和...不同
unluck, adj. 不走运的;不幸的
unti, prep&pron.到...为止
unusua, adj. 不寻常的;非凡的
u, adv. 在上面;在高处;向上;起来
upstair, adj & adv. (在)楼上;(往)楼上
u, pron. 我们
us, v.用;使用;运用
use, adj.用过的，半旧的
used t, phr.过去常常
usua, adj. 通常的;平常的
usuall, adv.通常
vegetabl, n.蔬菜
ver, adv. 很;非常
very muc, phr. 很;非常
ve, n.（口语）兽医
victi, n.受害者，受骗者
vide, n.录像
villag, n.村庄;乡村
visi, v.访问;参观;拜访
visito, n.参观者;访问者
voic, n.说话声;嗓音
volleybal, n.排球
wa, v.摆动，摇动（尾巴等）
wai, v.等;等待
wait fo, phr.等候
waite, n.服务员
waiting roo, n.等候室;候诊(车;机)室
wak, v.(使)醒来
wake u, phr.醒来;唤醒
wal, v.走;步行;散步
wal, n. 墙
walle, n. 钱夹;皮夹
wan, v. 要;想要
wa, n.战争
wardrob, n. 衣柜
war, adj.暖和的;热情的
war, v.警告，提醒
wa, v.动词be(a,i,are)的过去式
was, v.洗;漱洗
washroo, n. 盥洗室;厕所
wast, adj.&n.废弃的；无用的；垃圾；废物
watc, n & v. 手表、观看;注视
watch T, phr. 看电视
watchtowe, n.监视塔，瞭望塔
wate, n.&v.水;浇水
water-sk, v.做滑水运动
wav, n.浪；波浪
wa, n. 路;道路
w, pron. 我们
wea, adj.弱的;差的
wea, v.穿
wear ou, phr.把…穿旧，磨坏
weathe, n.天气
wee, n.周;星期
weekda, n.工作日;平日(除星期六;日以外)
weeken, n.周末
welcom, v. 欢迎
wel, adj&adv.好;(身体)健康
wer, v.动词be(are)的过去式
wes, n.&adj.西方、西部(的)
wester, adj.西方的，西部的
we, adj.湿的
wha, pron. 什么
what', phr. what is 的缩写形式
whea, n.小麦
whee, n.轮;机轮
whe, conj.当......时
wheneve, conj.&adv.无论什么时候；随时
wher, adv. 在哪里
whereve, conj & adv 无论在（到）哪里；在任何地方
whethe, conj.是否
whic, pron & adj. 哪一个;哪些
whil, conj.当..时候;和..同时
whit, adj & n. 白色(的)
wh, pron. 谁
whol, adj.全部的
who, pron.谁，哪个人（who的宾格）
whos, pron. 谁的
wh, adv.为什么
wid, adj.宽的
widel, adv.广泛地，广阔地
wif, n. 妻子
wil, v.aux. 将;会;要
wi, v. 获胜;赢
win, n.风
windo, n. 窗
wind, adj.有风的;风大的
win, n.酒
winne, n. 获胜者
winte, n.冬天;冬季
wis, n&v.祝愿;希望;想要
wit, prep.对....;关于
withou, prep.无;没有;不
woma, n. 妇女;女人
wome, n. woman的复数形式
wonde, v.惊奇，惊讶（对...）感到怀
wonderfu, adj.极好的;精彩的
woo, n.木头，木材
woo, n.羊毛，绒线
woole, adj.羊毛的，毛织的
wor, n.词;单词
wor, n. 工作
worke, n. 工人
workplac, n.工作场所
wor, n.虫，蠕虫
worrie, adj.担心的;烦恼的
worr, v. (使)担忧
wors, adj.更坏;更差
wors, adj.最坏的;最恶劣的
wort, adj.值得..的，有..的价值
writ, v.写
write dow, phr.写下;记下
write, n.作家;作者
writing brus, n.毛笔
wron, adj.不正确的;错误的
yar, n.院子
yea, adv.(口语)是的;嗯
yea, n.年
yello, adj & n. 黄色(的)
ye, n.元，日元
ye, adv. (用于疑问;征询等)什么;是吗
yesterda, n&adv.昨天
ye, adv.(用于否定句)还(没)
yo-y, n.溜溜球 (一种玩具)
yo, pron. 你;你们
youn, adj. 年轻的;幼小的
you, pron. 你的;你们的
your, pron. 你的;你们的
yoursel, pron. 你自己
yourselve, pron.你们自己
zer, num. & n. 零
zo, n.动物园
